dog_count,primary_breed,address
1,American Bulldog,"Muskegon, MI 49442"
1,American Bulldog,"New Baltimore, MI 48047"
1,American Bulldog,"PO Box 62 , Lake Orion, MI 48361"
1,American Bulldog,"Plymouth, MI 48170"
1,American Bulldog,"Pontiac, MI 48341"
1,American Bulldog,"Saginaw, MI 48602"
1,American Bulldog,"Westland, MI 48185"
1,American Bulldog,"White Lake, MI 48386"
1,American Bully,"1200 N. Telegraph Building 42 East, Pontiac, MI 48341"
1,American Bully,"2675 W. Washington Road , Ithaca, MI 48847"
1,American Bully,"2738 W. Caro Road , Caro, MI 48723"
1,American Bully,"Manistee, MI 49660"
1,American Bully,"Milan, MI 48160"
1,American Bully,"Northville, MI 48167"
1,American Bully,"Oak Park, MI 48237"
1,American Bully,"fennville, MI 49408"
1,American Staffordshire Terrier,"21417 Dunham Road , Clinton Township, MI 48036"
1,American Staffordshire Terrier,"2293 33rd Street , Allegan, MI 49010"
1,American Staffordshire Terrier,"2640 Marquette  Avenue , Muskegon, MI 49442"
1,American Staffordshire Terrier,"3365 Freeland Road , Saginaw, MI 48604"
1,American Staffordshire Terrier,"502 N. SAVIDGE , Reed City, MI 49677"
1,American Staffordshire Terrier,"5205 Airline Rd , Muskegon, MI 49443"
1,American Staffordshire Terrier,"Battle Creek, MI 49016"
1,American Staffordshire Terrier,"CLINTON TOWNSHIP, MI 48035"
1,American Staffordshire Terrier,"Farmington Hills, MI 48336"
1,American Staffordshire Terrier,"G-4351 W Pasadena Avenue , Flint, MI 48504"
1,American Staffordshire Terrier,"Grand Rapids, MI 49525"
1,American Staffordshire Terrier,"Holly, MI 48442"
1,American Staffordshire Terrier,"Howell, MI 48844"
1,American Staffordshire Terrier,"Lansing, MI 48917"
1,American Staffordshire Terrier,"Muskegon, MI 49442"
1,American Staffordshire Terrier,"Northville, MI 48167"
1,American Staffordshire Terrier,"P.O. Box 51935 , Livonia, MI 48151"
