Address,Most Popular Breed,Number of Dogs
"07591 Blue Star Hwy , South Haven, MI 49090",Husky,1
"1 , Ann Arbor, MI 48103",Siberian Husky,1
"1 , Lincoln Park, MI 48146",Siberian Husky,1
"1105 S. Isabella Road , Mount Pleasant, MI 48858",Australian Cattle Dog / Blue Heeler,1
"1105 S. Isabella Road , Mount Pleasant, MI 48858",Bull Terrier,1
"1105 S. Isabella Road , Mount Pleasant, MI 48858",Great Dane,1
"1105 S. Isabella Road , Mount Pleasant, MI 48858",Shepherd,1
"1110 Short Drive Prudenville, Prudenville, MI 48651",Bluetick Coonhound,1
"1110 Short Drive Prudenville, Prudenville, MI 48651",Husky,1
"1110 Short Drive Prudenville, Prudenville, MI 48651",Pit Bull Terrier,1
"11350 22 Mile Road , Utica, MI 48317",Mixed Breed,1
"1170 GROVE STREET , Wyandotte, MI 48192",Vizsla,1
"1200 N. Telegraph Building 42 East, Pontiac, MI 48341",Akita,1
"1200 N. Telegraph Building 42 East, Pontiac, MI 48341",American Bully,1
"1200 N. Telegraph Building 42 East, Pontiac, MI 48341",Australian Kelpie,1
"1200 N. Telegraph Building 42 East, Pontiac, MI 48341",Border Collie,1
"1200 N. Telegraph Building 42 East, Pontiac, MI 48341",Mastiff,1
"1200 N. Telegraph Building 42 East, Pontiac, MI 48341",Mountain Cur,1
"1200 N. Telegraph Building 42 East, Pontiac, MI 48341",Pharaoh Hound,1
"1200 N. Telegraph Building 42 East, Pontiac, MI 48341",Shar-Pei,1
"1200 N. Telegraph Building 42 East, Pontiac, MI 48341",Siberian Husky,1
"12000 Durham St. , Washington, MI 48095",Catahoula Leopard Dog,1
"12000 Durham St. , Washington, MI 48095",Pit Bull Terrier,1
"1300 West Conway Road , Harbor Springs, MI 49740",Mastiff,1
"1300 West Conway Road , Harbor Springs, MI 49740",Shepherd,1
"1316 Lamont Ave , Kalamazoo, MI 49001",Black Mouth Cur,1
"1316 Lamont Ave , Kalamazoo, MI 49001",German Shepherd Dog,1
"1316 Lamont Ave , Kalamazoo, MI 49001",Great Dane,1
"1316 Lamont Ave , Kalamazoo, MI 49001",Hound,1
"1316 Lamont Ave , Kalamazoo, MI 49001",Labrador Retriever,1
"1316 Lamont Ave , Kalamazoo, MI 49001",Shiba Inu,1
"13569 Joseph Campau , Detroit, MI 48212",Doberman Pinscher,1
"13575 N. Fenton Rd , Fenton, MI 48430",Chihuahua,1
"13575 N. Fenton Rd , Fenton, MI 48430",Great Dane,1
"13575 N. Fenton Rd , Fenton, MI 48430",Mixed Breed,1
